i,a_iso,a_epo,b_iso,b_epo
32,2024-05-22T22:23:00.000Z,1716416580000,2024-05-22T23:15:00.000Z,1716419700000
33,2024-05-22T22:23:00.000Z,1716416580000,2024-05-22T23:16:00.000Z,1716419760000
34,2024-05-22T22:23:00.000Z,1716416580000,2024-05-22T23:17:00.000Z,1716419820000
35,2024-05-22T22:23:00.000Z,1716416580000,2024-05-22T23:18:00.000Z,1716419880000
36,2024-05-22T22:23:00.000Z,1716416580000,2024-05-22T23:19:00.000Z,1716419940000
37,2024-05-22T22:23:00.000Z,1716416580000,2024-05-22T23:20:00.000Z,1716420000000
38,2024-05-22T22:23:00.000Z,1716416580000,2024-05-22T23:21:00.000Z,1716420060000
39,2024-05-22T22:23:00.000Z,1716416580000,2024-05-22T23:22:00.000Z,1716420120000
40,2024-05-22T22:23:00.000Z,1716416580000,2024-05-22T23:23:00.000Z,1716420180000
41,2024-05-22T22:23:00.000Z,1716416580000,2024-05-22T23:24:00.000Z,1716420240000
42,2024-05-22T22:23:00.000Z,1716416580000,2024-05-22T23:25:00.000Z,1716420300000
43,2024-05-22T22:23:00.000Z,1716416580000,2024-05-22T23:26:00.000Z,1716420360000
44,2024-05-22T22:23:00.000Z,1716416580000,2024-05-22T23:27:00.000Z,1716420420000
45,2024-05-22T22:23:00.000Z,1716416580000,2024-05-22T23:28:00.000Z,1716420480000
46,2024-05-22T22:23:00.000Z,1716416580000,2024-05-22T23:29:00.000Z,1716420540000
47,2024-05-22T22:23:00.000Z,1716416580000,2024-05-22T23:30:00.000Z,1716420600000
48,2024-05-22T22:23:00.000Z,1716416580000,2024-05-22T23:31:00.000Z,1716420660000
49,2024-05-22T22:23:00.000Z,1716416580000,2024-05-22T23:32:00.000Z,1716420720000
50,2024-05-22T22:23:00.000Z,1716416580000,2024-05-22T23:33:00.000Z,1716420780000
51,2024-05-22T22:23:00.000Z,1716416580000,2024-05-22T23:34:00.000Z,1716420840000
52,2024-05-22T22:23:00.000Z,1716416580000,2024-05-22T23:35:00.000Z,1716420900000
53,2024-05-22T22:23:00.000Z,1716416580000,2024-05-22T23:36:00.000Z,1716420960000
54,2024-05-22T22:23:00.000Z,1716416580000,2024-05-22T23:37:00.000Z,1716421020000
55,2024-05-22T22:23:00.000Z,1716416580000,2024-05-22T23:38:00.000Z,1716421080000
56,2024-05-22T22:23:00.000Z,1716416580000,2024-05-22T23:39:00.000Z,1716421140000
57,2024-05-22T22:23:00.000Z,1716416580000,2024-05-22T23:40:00.000Z,1716421200000
58,2024-05-22T22:23:00.000Z,1716416580000,2024-05-22T23:41:00.000Z,1716421260000
59,2024-05-22T22:23:00.000Z,1716416580000,2024-05-22T23:42:00.000Z,1716421320000
60,2024-05-22T22:23:00.000Z,1716416580000,2024-05-22T23:43:00.000Z,1716421380000
61,2024-05-22T22:23:00.000Z,1716416580000,2024-05-22T23:44:00.000Z,1716421440000
62,2024-05-22T22:23:00.000Z,1716416580000,2024-05-22T23:45:00.000Z,1716421500000
63,2024-05-22T22:23:00.000Z,1716416580000,2024-05-22T23:46:00.000Z,1716421560000
64,2024-05-22T22:23:00.000Z,1716416580000,2024-05-22T23:47:00.000Z,1716421620000
65,2024-05-22T22:23:00.000Z,1716416580000,2024-05-22T23:48:00.000Z,1716421680000
66,2024-05-22T22:23:00.000Z,1716416580000,2024-05-22T23:49:00.000Z,1716421740000
67,2024-05-22T22:23:00.000Z,1716416580000,2024-05-22T23:50:00.000Z,1716421800000
68,2024-05-22T22:23:00.000Z,1716416580000,2024-05-22T23:51:00.000Z,1716421860000
69,2024-05-22T22:23:00.000Z,1716416580000,2024-05-22T23:52:00.000Z,1716421920000
70,2024-05-22T22:23:00.000Z,1716416580000,2024-05-22T23:53:00.000Z,1716421980000
71,2024-05-22T22:23:00.000Z,1716416580000,2024-05-22T23:54:00.000Z,1716422040000
72,2024-05-22T22:23:00.000Z,1716416580000,2024-05-22T23:55:00.000Z,1716422100000
73,2024-05-22T22:23:00.000Z,1716416580000,2024-05-22T23:56:00.000Z,1716422160000
74,2024-05-22T22:23:00.000Z,1716416580000,2024-05-22T23:57:00.000Z,1716422220000
75,2024-05-22T22:23:00.000Z,1716416580000,2024-05-22T23:58:00.000Z,1716422280000
76,2024-05-22T22:23:00.000Z,1716416580000,2024-05-22T23:59:00.000Z,1716422340000
77,2024-05-22T22:23:00.000Z,1716416580000,2024-05-23T00:00:00.000Z,1716422400000
78,2024-05-22T22:23:00.000Z,1716416580000,2024-05-23T00:01:00.000Z,1716422460000
79,2024-05-22T22:23:00.000Z,1716416580000,2024-05-23T00:02:00.000Z,1716422520000
80,2024-05-22T22:23:00.000Z,1716416580000,2024-05-23T00:03:00.000Z,1716422580000
81,2024-05-22T22:23:00.000Z,1716416580000,2024-05-23T00:04:00.000Z,1716422640000
82,2024-05-22T22:23:00.000Z,1716416580000,2024-05-23T00:05:00.000Z,1716422700000
83,2024-05-22T22:23:00.000Z,1716416580000,2024-05-23T00:06:00.000Z,1716422760000
84,2024-05-22T22:23:00.000Z,1716416580000,2024-05-23T00:07:00.000Z,1716422820000
85,2024-05-22T22:23:00.000Z,1716416580000,2024-05-23T00:08:00.000Z,1716422880000
86,2024-05-22T22:23:00.000Z,1716416580000,2024-05-23T00:09:00.000Z,1716422940000
87,2024-05-22T22:23:00.000Z,1716416580000,2024-05-23T00:10:00.000Z,1716423000000
88,2024-05-22T22:23:00.000Z,1716416580000,2024-05-23T00:11:00.000Z,1716423060000
89,2024-05-22T22:23:00.000Z,1716416580000,2024-05-23T00:12:00.000Z,1716423120000
90,2024-05-22T22:23:00.000Z,1716416580000,2024-05-23T00:13:00.000Z,1716423180000
91,2024-05-22T22:23:00.000Z,1716416580000,2024-05-23T00:14:00.000Z,1716423240000
92,2024-05-22T22:23:00.000Z,1716416580000,2024-05-23T00:15:00.000Z,1716423300000
93,2024-05-22T22:23:00.000Z,1716416580000,2024-05-23T00:16:00.000Z,1716423360000
94,2024-05-22T22:23:00.000Z,1716416580000,2024-05-23T00:17:00.000Z,1716423420000
95,2024-05-22T22:23:00.000Z,1716416580000,2024-05-23T00:18:00.000Z,1716423480000
96,2024-05-22T22:23:00.000Z,1716416580000,2024-05-23T00:19:00.000Z,1716423540000
97,2024-05-22T22:23:00.000Z,1716416580000,2024-05-23T00:20:00.000Z,1716423600000
98,2024-05-22T22:23:00.000Z,1716416580000,2024-05-23T00:21:00.000Z,1716423660000
99,2024-05-22T22:23:00.000Z,1716416580000,2024-05-23T00:22:00.000Z,1716423720000
100,2024-05-22T22:23:00.000Z,1716416580000,2024-05-23T00:23:00.000Z,1716423780000
101,2024-05-22T22:23:00.000Z,1716416580000,2024-05-23T00:24:00.000Z,1716423840000
102,2024-05-22T22:23:00.000Z,1716416580000,2024-05-23T00:25:00.000Z,1716423900000
103,2024-05-22T22:23:00.000Z,1716416580000,2024-05-23T00:26:00.000Z,1716423960000
104,2024-05-23T00:07:00.000Z,1716422820000,2024-05-23T00:30:00.000Z,1716424200000
105,2024-05-23T00:07:00.000Z,1716422820000,2024-05-23T00:31:00.000Z,1716424260000
106,2024-05-23T00:07:00.000Z,1716422820000,2024-05-23T00:32:00.000Z,1716424320000
107,2024-05-23T00:07:00.000Z,1716422820000,2024-05-23T00:38:00.000Z,1716424680000
108,2024-05-23T00:07:00.000Z,1716422820000,2024-05-23T00:39:00.000Z,1716424740000
109,2024-05-23T00:07:00.000Z,1716422820000,2024-05-23T00:40:00.000Z,1716424800000
110,2024-05-23T00:07:00.000Z,1716422820000,2024-05-23T00:41:00.000Z,1716424860000
111,2024-05-23T00:07:00.000Z,1716422820000,2024-05-23T00:42:00.000Z,1716424920000
112,2024-05-23T00:07:00.000Z,1716422820000,2024-05-23T00:43:00.000Z,1716424980000
113,2024-05-23T00:07:00.000Z,1716422820000,2024-05-23T00:44:00.000Z,1716425040000
114,2024-05-23T00:07:00.000Z,1716422820000,2024-05-23T00:45:00.000Z,1716425100000
115,2024-05-23T00:07:00.000Z,1716422820000,2024-05-23T00:46:00.000Z,1716425160000
116,2024-05-23T00:07:00.000Z,1716422820000,2024-05-23T00:47:00.000Z,1716425220000
117,2024-05-23T00:07:00.000Z,1716422820000,2024-05-23T00:48:00.000Z,1716425280000
118,2024-05-23T00:07:00.000Z,1716422820000,2024-05-23T00:49:00.000Z,1716425340000
119,2024-05-23T00:07:00.000Z,1716422820000,2024-05-23T00:50:00.000Z,1716425400000
120,2024-05-23T00:07:00.000Z,1716422820000,2024-05-23T00:51:00.000Z,1716425460000
121,2024-05-23T00:07:00.000Z,1716422820000,2024-05-23T00:52:00.000Z,1716425520000
122,2024-05-23T00:07:00.000Z,1716422820000,2024-05-23T00:53:00.000Z,1716425580000
123,2024-05-23T00:07:00.000Z,1716422820000,2024-05-23T00:54:00.000Z,1716425640000
124,2024-05-23T00:07:00.000Z,1716422820000,2024-05-23T00:55:00.000Z,1716425700000
125,2024-05-23T00:07:00.000Z,1716422820000,2024-05-23T00:56:00.000Z,1716425760000
126,2024-05-23T00:07:00.000Z,1716422820000,2024-05-23T00:57:00.000Z,1716425820000
127,2024-05-23T00:07:00.000Z,1716422820000,2024-05-23T00:58:00.000Z,1716425880000
128,2024-05-23T00:07:00.000Z,1716422820000,2024-05-23T00:59:00.000Z,1716425940000
129,2024-05-23T00:07:00.000Z,1716422820000,2024-05-23T01:00:00.000Z,1716426000000
130,2024-05-23T00:07:00.000Z,1716422820000,2024-05-23T01:01:00.000Z,1716426060000
131,2024-05-23T00:07:00.000Z,1716422820000,2024-05-23T01:02:00.000Z,1716426120000
132,2024-05-23T00:07:00.000Z,1716422820000,2024-05-23T01:03:00.000Z,1716426180000
133,2024-05-23T00:07:00.000Z,1716422820000,2024-05-23T01:04:00.000Z,1716426240000
134,2024-05-23T00:07:00.000Z,1716422820000,2024-05-23T01:05:00.000Z,1716426300000
135,2024-05-23T00:45:00.000Z,1716425100000,2024-05-23T01:06:00.000Z,1716426360000
136,2024-05-23T00:45:00.000Z,1716425100000,2024-05-23T01:07:00.000Z,1716426420000
137,2024-05-23T00:45:00.000Z,1716425100000,2024-05-23T01:08:00.000Z,1716426480000
138,2024-05-23T00:45:00.000Z,1716425100000,2024-05-23T01:09:00.000Z,1716426540000
139,2024-05-23T00:45:00.000Z,1716425100000,2024-05-23T01:10:00.000Z,1716426600000
140,2024-05-23T00:45:00.000Z,1716425100000,2024-05-23T01:11:00.000Z,1716426660000
141,2024-05-23T00:45:00.000Z,1716425100000,2024-05-23T01:12:00.000Z,1716426720000
142,2024-05-23T00:45:00.000Z,1716425100000,2024-05-23T01:13:00.000Z,1716426780000
143,2024-05-23T00:45:00.000Z,1716425100000,2024-05-23T01:14:00.000Z,1716426840000
144,2024-05-23T00:45:00.000Z,1716425100000,2024-05-23T01:15:00.000Z,1716426900000
145,2024-05-23T00:45:00.000Z,1716425100000,2024-05-23T01:16:00.000Z,1716426960000
146,2024-05-23T00:45:00.000Z,1716425100000,2024-05-23T01:17:00.000Z,1716427020000
147,2024-05-23T00:45:00.000Z,1716425100000,2024-05-23T01:18:00.000Z,1716427080000
148,2024-05-23T00:45:00.000Z,1716425100000,2024-05-23T01:19:00.000Z,1716427140000
149,2024-05-23T00:45:00.000Z,1716425100000,2024-05-23T01:20:00.000Z,1716427200000
150,2024-05-23T00:45:00.000Z,1716425100000,2024-05-23T01:21:00.000Z,1716427260000
151,2024-05-23T00:45:00.000Z,1716425100000,2024-05-23T01:22:00.000Z,1716427320000
152,2024-05-23T00:45:00.000Z,1716425100000,2024-05-23T01:23:00.000Z,1716427380000
153,2024-05-23T00:45:00.000Z,1716425100000,2024-05-23T01:24:00.000Z,1716427440000
154,2024-05-23T00:45:00.000Z,1716425100000,2024-05-23T01:25:00.000Z,1716427500000
155,2024-05-23T00:45:00.000Z,1716425100000,2024-05-23T01:26:00.000Z,1716427560000
156,2024-05-23T00:45:00.000Z,1716425100000,2024-05-23T01:27:00.000Z,1716427620000
157,2024-05-23T00:45:00.000Z,1716425100000,2024-05-23T01:28:00.000Z,1716427680000
158,2024-05-23T00:45:00.000Z,1716425100000,2024-05-23T01:29:00.000Z,1716427740000
159,2024-05-23T00:45:00.000Z,1716425100000,2024-05-23T01:30:00.000Z,1716427800000
160,2024-05-23T00:45:00.000Z,1716425100000,2024-05-23T01:31:00.000Z,1716427860000
161,2024-05-23T00:45:00.000Z,1716425100000,2024-05-23T01:32:00.000Z,1716427920000
162,2024-05-23T00:45:00.000Z,1716425100000,2024-05-23T01:33:00.000Z,1716427980000
163,2024-05-23T00:45:00.000Z,1716425100000,2024-05-23T01:34:00.000Z,1716428040000
164,2024-05-23T00:45:00.000Z,1716425100000,2024-05-23T01:35:00.000Z,1716428100000
165,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T01:36:00.000Z,1716428160000
166,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T01:37:00.000Z,1716428220000
167,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T01:38:00.000Z,1716428280000
168,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T01:39:00.000Z,1716428340000
169,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T01:40:00.000Z,1716428400000
170,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T01:41:00.000Z,1716428460000
171,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T01:42:00.000Z,1716428520000
172,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T01:43:00.000Z,1716428580000
173,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T01:44:00.000Z,1716428640000
174,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T01:45:00.000Z,1716428700000
175,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T01:46:00.000Z,1716428760000
176,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T01:47:00.000Z,1716428820000
177,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T01:48:00.000Z,1716428880000
178,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T01:49:00.000Z,1716428940000
179,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T01:50:00.000Z,1716429000000
180,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T01:51:00.000Z,1716429060000
181,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T01:52:00.000Z,1716429120000
182,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T01:53:00.000Z,1716429180000
183,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T01:54:00.000Z,1716429240000
184,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T01:55:00.000Z,1716429300000
185,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T01:56:00.000Z,1716429360000
186,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T01:57:00.000Z,1716429420000
187,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T01:58:00.000Z,1716429480000
188,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T01:59:00.000Z,1716429540000
189,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T02:00:00.000Z,1716429600000
190,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T02:01:00.000Z,1716429660000
191,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T02:02:00.000Z,1716429720000
192,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T02:03:00.000Z,1716429780000
193,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T02:04:00.000Z,1716429840000
194,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T02:05:00.000Z,1716429900000
195,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T02:06:00.000Z,1716429960000
196,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T02:07:00.000Z,1716430020000
197,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T02:08:00.000Z,1716430080000
198,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T02:09:00.000Z,1716430140000
199,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T02:10:00.000Z,1716430200000
200,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T02:11:00.000Z,1716430260000
201,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T02:12:00.000Z,1716430320000
202,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T02:13:00.000Z,1716430380000
203,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T02:14:00.000Z,1716430440000
204,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T02:15:00.000Z,1716430500000
205,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T02:16:00.000Z,1716430560000
206,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T02:17:00.000Z,1716430620000
207,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T02:18:00.000Z,1716430680000
208,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T02:19:00.000Z,1716430740000
209,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T02:20:00.000Z,1716430800000
210,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T02:21:00.000Z,1716430860000
211,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T02:22:00.000Z,1716430920000
212,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T02:23:00.000Z,1716430980000
213,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T02:24:00.000Z,1716431040000
214,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T02:25:00.000Z,1716431100000
215,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T02:26:00.000Z,1716431160000
216,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T02:27:00.000Z,1716431220000
217,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T02:28:00.000Z,1716431280000
218,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T02:29:00.000Z,1716431340000
219,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T02:30:00.000Z,1716431400000
220,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T02:31:00.000Z,1716431460000
221,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T02:32:00.000Z,1716431520000
222,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T02:33:00.000Z,1716431580000
223,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T02:34:00.000Z,1716431640000
224,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T02:35:00.000Z,1716431700000
225,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T02:36:00.000Z,1716431760000
226,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T02:37:00.000Z,1716431820000
227,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T02:38:00.000Z,1716431880000
228,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T02:39:00.000Z,1716431940000
229,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T02:40:00.000Z,1716432000000
230,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T02:41:00.000Z,1716432060000
231,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T02:42:00.000Z,1716432120000
232,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T02:43:00.000Z,1716432180000
233,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T02:44:00.000Z,1716432240000
234,2024-05-23T01:17:00.000Z,1716427020000,2024-05-23T02:45:00.000Z,1716432300000
